CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description,NAME,CODEBOOK,response,event_num,diff,event_concat,word,state,pid
ZA6712_US.data,1005,PS2,3,stimulus,TEXTLINK,51301,id=u07_default_txt3|unit7page1|_self,Book Order,U07x000S,1,2,49193,TEXTLINK-id=u07_default_txt3|unit7page1|_self,TEXTLINK-id=u07_default_txt3|unit7page1|_self,1,1
ZA6712_US.data,1005,PS2,3,stimulus,TOOLBAR_back,100494,id=toolbar_back_btn,Book Order,U07x000S,1,3,4578,TOOLBAR_back-id=toolbar_back_btn,TOOLBAR_back-id=toolbar_back_btn,2,1
ZA6712_US.data,1005,PS2,3,stimulus,TEXTLINK,105072,id=u07_default_txt6|unit7page2|_self,Book Order,U07x000S,1,4,4911,TEXTLINK-id=u07_default_txt6|unit7page2|_self,TEXTLINK-id=u07_default_txt6|unit7page2|_self,3,1
ZA6712_US.data,1005,PS2,3,stimulus,TOOLBAR_back,109983,id=toolbar_back_btn,Book Order,U07x000S,1,5,1688,TOOLBAR_back-id=toolbar_back_btn,TOOLBAR_back-id=toolbar_back_btn,2,1
ZA6712_US.data,1005,PS2,3,stimulus,TEXTLINK,111671,id=u07_default_txt9|unit7page3|_self,Book Order,U07x000S,1,6,11939,TEXTLINK-id=u07_default_txt9|unit7page3|_self,TEXTLINK-id=u07_default_txt9|unit7page3|_self,4,1
ZA6712_US.data,1005,PS2,3,stimulus,TOOLBAR_back,123610,id=toolbar_back_btn,Book Order,U07x000S,1,7,6904,TOOLBAR_back-id=toolbar_back_btn,TOOLBAR_back-id=toolbar_back_btn,2,1
ZA6712_US.data,1005,PS2,3,stimulus,TEXTLINK,130514,id=u07_default_txt12|unit7page4|_self,Book Order,U07x000S,1,8,17712,TEXTLINK-id=u07_default_txt12|unit7page4|_self,TEXTLINK-id=u07_default_txt12|unit7page4|_self,5,1
ZA6712_US.data,1005,PS2,3,stimulus,TOOLBAR_back,148226,id=toolbar_back_btn,Book Order,U07x000S,1,9,1989,TOOLBAR_back-id=toolbar_back_btn,TOOLBAR_back-id=toolbar_back_btn,2,1
ZA6712_US.data,1005,PS2,3,stimulus,TEXTLINK,150215,id=u07_default_txt15|unit7page6|_self,Book Order,U07x000S,1,10,14608,TEXTLINK-id=u07_default_txt15|unit7page6|_self,TEXTLINK-id=u07_default_txt15|unit7page6|_self,6,1
ZA6712_US.data,1005,PS2,3,stimulus,TOOLBAR_back,164823,id=toolbar_back_btn,Book Order,U07x000S,1,11,1775,TOOLBAR_back-id=toolbar_back_btn,TOOLBAR_back-id=toolbar_back_btn,2,1
