CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description,NAME,CODEBOOK,response,event_num,diff,event_concat,word,state,pid
ZA6712_US.data,10,PS1,3,stimulus,TOOLBAR_webApp,80057,id=webApp,CD Tally,U03a000S,1,2,1954,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,1
ZA6712_US.data,10,PS1,3,stimulus,TOOLBAR_spreadApp,82011,id=spreadApp,CD Tally,U03a000S,1,3,7834,TOOLBAR_spreadApp-id=spreadApp,TOOLBAR_spreadApp-id=spreadApp,2,1
ZA6712_US.data,10,PS1,3,stimulus,TOOLBAR_webApp,89845,id=webApp,CD Tally,U03a000S,1,4,2406,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,1
ZA6712_US.data,10,PS1,3,stimulus,TOOLBAR_spreadApp,92251,id=spreadApp,CD Tally,U03a000S,1,5,40327,TOOLBAR_spreadApp-id=spreadApp,TOOLBAR_spreadApp-id=spreadApp,2,1
ZA6712_US.data,10,PS1,3,stimulus,TOOLBAR_webApp,132578,id=webApp,CD Tally,U03a000S,1,6,4891,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,1
ZA6712_US.data,10,PS1,3,stimulus,COMBOBOX,137469,id=menulist|9,CD Tally,U03a000S,1,7,1451,COMBOBOX-id=menulist|9,COMBOBOX-id=menulist|9,3,1
ZA6712_US.data,10,PS1,3,stimulus,SUBMIT_complete,138920,id=u03_default_txt14,CD Tally,U03a000S,1,8,3614,SUBMIT_complete-id=u03_default_txt14,SUBMIT_complete-id=u03_default_txt14,4,1
ZA6712_US.data,10,PS1,3,taoPIAAC,NEXT_INQUIRY,142534,REQUEST,CD Tally,U03a000S,1,9,3914,NEXT_INQUIRY-REQUEST,NEXT_INQUIRY-REQUEST,5,1
ZA6712_US.data,10,PS1,3,taoPIAAC,END,146448,,CD Tally,U03a000S,1,10,-146448,END,END,6,1
ZA6712_US.data,1000,PS1,3,stimulus,TOOLBAR_splitVertical,84392,id=splitVertical,CD Tally,U03a000S,7,2,5153,TOOLBAR_splitVertical-id=splitVertical,TOOLBAR_splitVertical-id=splitVertical,7,2
ZA6712_US.data,1000,PS1,3,stimulus,TOOLBAR_splitHorizontal,89545,id=splitHorizontal,CD Tally,U03a000S,7,3,3605,TOOLBAR_splitHorizontal-id=splitHorizontal,TOOLBAR_splitHorizontal-id=splitHorizontal,8,2
ZA6712_US.data,1000,PS1,3,stimulus,TOOLBAR_webApp,93150,id=webApp,CD Tally,U03a000S,7,4,29251,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,2
ZA6712_US.data,1000,PS1,3,stimulus,MENU,122401,id=file-menu,CD Tally,U03a000S,7,5,10557,MENU-id=file-menu,MENU-id=file-menu,9,2
ZA6712_US.data,1000,PS1,3,stimulus,TOOLBAR_next,132958,id=toolbar_forward_btn,CD Tally,U03a000S,7,6,21376,TOOLBAR_next-id=toolbar_forward_btn,TOOLBAR_next-id=toolbar_forward_btn,10,2
ZA6712_US.data,1000,PS1,3,stimulus,TOOLBAR_spreadApp,154334,id=spreadApp,CD Tally,U03a000S,7,7,118196,TOOLBAR_spreadApp-id=spreadApp,TOOLBAR_spreadApp-id=spreadApp,2,2
ZA6712_US.data,1000,PS1,3,stimulus,TOOLBAR_webApp,272530,id=webApp,CD Tally,U03a000S,7,8,9494,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,2
ZA6712_US.data,1000,PS1,3,stimulus,COMBOBOX,282024,id=menulist|8,CD Tally,U03a000S,7,9,3290,COMBOBOX-id=menulist|8,COMBOBOX-id=menulist|8,11,2
ZA6712_US.data,1000,PS1,3,stimulus,SUBMIT_complete,285314,id=u03_default_txt14,CD Tally,U03a000S,7,10,4879,SUBMIT_complete-id=u03_default_txt14,SUBMIT_complete-id=u03_default_txt14,4,2
ZA6712_US.data,1000,PS1,3,taoPIAAC,NEXT_INQUIRY,290193,REQUEST,CD Tally,U03a000S,7,11,2467,NEXT_INQUIRY-REQUEST,NEXT_INQUIRY-REQUEST,5,2
ZA6712_US.data,1000,PS1,3,taoPIAAC,END,292660,,CD Tally,U03a000S,7,12,-292660,END,END,6,2
ZA6712_US.data,1007,PS1,3,stimulus,TOOLBAR_spreadApp,47491,id=spreadApp,CD Tally,U03a000S,7,2,11623,TOOLBAR_spreadApp-id=spreadApp,TOOLBAR_spreadApp-id=spreadApp,2,3
ZA6712_US.data,1007,PS1,3,stimulus,TOOLBAR_webApp,59114,id=webApp,CD Tally,U03a000S,7,3,8813,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,3
ZA6712_US.data,1007,PS1,3,stimulus,TOOLBAR_spreadApp,67927,id=spreadApp,CD Tally,U03a000S,7,4,23643,TOOLBAR_spreadApp-id=spreadApp,TOOLBAR_spreadApp-id=spreadApp,2,3
ZA6712_US.data,1007,PS1,3,stimulus,MENU,91570,id=ss-data-menu,CD Tally,U03a000S,7,5,4913,MENU-id=ss-data-menu,MENU-id=ss-data-menu,12,3
ZA6712_US.data,1007,PS1,3,stimulus,MENUITEM_sort,96483,key=sort,CD Tally,U03a000S,7,6,8119,MENUITEM_sort-key=sort,MENUITEM_sort-key=sort,13,3
ZA6712_US.data,1007,PS1,3,stimulus,COMBOBOX,104602,id=sortablecol1|3,CD Tally,U03a000S,7,7,4559,COMBOBOX-id=sortablecol1|3,COMBOBOX-id=sortablecol1|3,14,3
ZA6712_US.data,1007,PS1,3,stimulus,RADIO_BTN,109161,id=priority1asc,CD Tally,U03a000S,7,8,6643,RADIO_BTN-id=priority1asc,RADIO_BTN-id=priority1asc,15,3
ZA6712_US.data,1007,PS1,3,stimulus,CD_SORT_ok,115804,id=sortValidation,CD Tally,U03a000S,7,9,3259,CD_SORT_ok-id=sortValidation,CD_SORT_ok-id=sortValidation,16,3
ZA6712_US.data,1007,PS1,3,stimulus,TOOLBAR_webApp,119063,id=webApp,CD Tally,U03a000S,7,10,2425,TOOLBAR_webApp-id=webApp,TOOLBAR_webApp-id=webApp,1,3
