Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
1,CNTRYID,"Country ID (ISO 3166, numeric)",Integer,Nominal,4,0,Sampling / weighting,"Participating country codes (ISO 3166, numeric)","Default (""blank""/Null/. only)",Values,
2,CNTRYID_E,Participating country or sub-national entity code (numeric),Integer,Nominal,4,0,Sampling / weighting,Participating country or sub-national entity sample (numeric),"Default (""blank""/Null/. only)",Values,
3,SEQID,Sequential ID (randomly derived),Integer,Nominal,5,0,Not assigned,,"Default (""blank""/Null/. only)",n/a,
4,AGE_R,Person resolved age from BQ and QC check (derived),Integer,Ratio,2,0,Sampling / weighting (derived),,"Derived (""not stated"" only)",Values,
5,GENDER_R,Person resolved gender from BQ and QC check (derived),Integer,Nominal,1,0,Sampling / weighting (derived),Gender,"Derived (""not stated"" only)",Values,
6,DISP_CIBQ,Final disposition code for person - combining CI and BQ/JRA (derived),Integer,Nominal,2,0,Sampling / weighting (derived),"Disposition codes (CI, BQ, CBA)","Derived (""not stated"" only)",Values,
7,DISP_MAIN,Final disposition code for person for Main task instrument (derived),Integer,Nominal,2,0,Sampling / weighting (derived),"Disposition codes (PP, PRC, Global)","Derived (""not stated"" only)",Values,
8,DISP_MAINWRC,"Final disposition code for person for Main task instrument, including reading components (derived)",Integer,Nominal,2,0,Sampling / weighting (derived),"Disposition codes (PP, PRC, Global)","Derived (""not stated"" only)",Values,
9,A_N01_T,Gender (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Gender,BQ (numeric),Values,
10,B_Q01a,Education - Highest qualification - Level,Integer,Nominal,2,0,Background questionnaire,"ISCED 1997 PIAAC (1-16, incl non-formal and foreign)",BQ (numeric),Values,
11,B_Q01a_T,Highest level of schooling (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - Highest level of schooling (1-4),Trend - BQ (nummeric) collapsed,Values,
12,B_Q01a3,Education - Highest qualification - Level of foreign qualification,Integer,Nominal,2,0,Background questionnaire,"ISCED 1997 PIAAC (1-15, incl non-formal, excl foreign)",BQ (numeric),Values,
13,B_Q01a3_C,"Education - Highest Qualification - Level of foreign qualification (collapsed, 14 categories)",Integer,Nominal,2,0,Background questionnaire (derived),"Derived - ISCED 1997 PIAAC (1-15, incl non-formal, excl foreign - collapsed 14 categories)",BQ (numeric),Values,
14,B_Q01b,Education - Highest qualification - Area of study,Integer,Nominal,2,0,Background questionnaire,ISCED Broad Fields of Education and Training (1-9),BQ (numeric),Values,
15,B_Q01c1,Education - Highest qualification - Age of finish,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
16,B_Q01c1_C,"Education - Highest qualification - Age of finish (categorised, 6 categories)",Integer,Nominal,2,0,Background questionnaire (derived),Derived - Age categories (1-6),BQ (numeric),Values,
17,B_Q01c1_T,Age at completion of highest level of schooling (Trend-IALS/ALL),Integer,Ratio,2,0,Background questionnaire (trend),,BQ (numeric),Values,
18,B_Q01c2,Education - Highest qualification - Year of finish,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
19,B_Q01d,Education - Highest qualification - Month of finish,Integer,Nominal,2,0,Background questionnaire,Months,BQ (numeric),Values,
20,B_D01d,Education - Highest qualification - Months elapsed since finished (DERIVED BY CAPI),Integer,Scale,3,0,Background questionnaire,,BQ (numeric),Values,
21,B_D01d_C,"Education - Time elapsed since finished highest qualification (categorised, 5 categories)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Time elapsed,BQ (numeric),Values,
22,B_Q02a,Education - Current qualification,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
23,B_Q02a_T1,Education or training in last 12 months (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),Trend - BQ (nummeric) collapsed,Values,
24,B_Q02a_T2,"Courses toward certificate, diploma, or degree in program of studies in last 12 months (Trend-IALS/ALL)",Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),Trend - BQ (nummeric) collapsed,Values,
25,B_Q02b,Education - Current qualification - Level,Integer,Nominal,2,0,Background questionnaire,"ISCED 1997 PIAAC (1-14, excl non-formal and foreign)",BQ (numeric),Values,
26,B_Q02b_C,"Education - Current Qualification (collapsed, 10 categories)",Integer,Nominal,2,0,Background questionnaire (derived),Derived - ISCED 1997 PIAAC (excl non-formal and foreign - collapsed 10 categories),BQ (numeric),Values,
27,B_Q02c,Education - Current qualification - Area of study,Integer,Nominal,2,0,Background questionnaire,ISCED Broad Fields of Education and Training (1-9),BQ (numeric),Values,
28,B_Q03a,Education - Uncompleted qualification,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
29,B_Q03b,Education - Uncompleted qualification - Level,Integer,Nominal,2,0,Background questionnaire,"ISCED 1997 PIAAC (1-14, excl non-formal and foreign)",BQ (numeric),Values,
30,B_Q03b_C,"Education - Uncompleted qualification - Level (collapsed, 10 categories)",Integer,Nominal,2,0,Background questionnaire (derived),Derived - ISCED 1997 PIAAC (excl non-formal and foreign - collapsed 10 categories),BQ (numeric),Values,
31,B_Q03c1,Education - Uncompleted qualification - Age of dropout,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
32,B_Q03c1_C,"Education - Uncompleted qualification - Age of dropout (categorised, 6 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Age categories (1-6),BQ (numeric),Values,
33,B_Q03c2,Education - Uncompleted qualification - Year of dropout,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
34,B_Q03d,Education - Uncompleted qualification - Month of dropout,Integer,Nominal,2,0,Background questionnaire,Months,BQ (numeric),Values,
35,B_D03d,Education - Uncompleted qualification - Months elapsed since dropout (DERIVED BY CAPI),Integer,Scale,3,0,Background questionnaire,,BQ (numeric),Values,
36,B_D03d_C,"Education - Derived Months elapsed since leaving education without completing program (categorized, 3 categories)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Time elapsed,BQ (numeric),Values,
37,B_Q04a,Education - Formal qualification,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
38,B_Q04b,Education - Formal qualification - Count,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
39,B_Q04b_C,Education - Formal qualification - Count (top-coded at 2),Integer,Ratio,1,0,Background questionnaire (derived),,BQ (numeric),Values,
40,B_Q05a,Education - Formal qualification - Level,Integer,Nominal,2,0,Background questionnaire,"ISCED 1997 PIAAC (1-14, excl non-formal and foreign)",BQ (numeric),Values,
41,B_Q05b,Education - Formal qualification - Area of study,Integer,Nominal,2,0,Background questionnaire,ISCED Broad Fields of Education and Training (1-9),BQ (numeric),Values,
42,B_Q05c,Education - Formal qualification - Reason job related,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
43,B_Q05c_T,Main reason for program of studies (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),BQ (numeric),Values,
44,B_Q10a,Education - Formal qualification - Employed,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
45,B_Q10b,Education - Formal qualification - Employed - Working hours,Integer,Ordinal,1,0,Background questionnaire,Working hours use,BQ (numeric),Values,
46,B_Q10c,Education - Formal qualification - Employed - Useful for job,Integer,Ordinal,1,0,Background questionnaire,Usefulness (1-4),BQ (numeric),Values,
47,B_Q11,Education - Formal qualification - Grant from employer,Integer,Nominal,1,0,Background questionnaire,Employer contribution to studies,BQ (numeric),Values,
48,B_Q12a,Activities - Last year - Open or distance education,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
49,B_Q12a_T,Courses outside of program of studies in last 12 months (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),BQ (numeric),Values,
50,B_Q12b,Activities - Last year - Open or distance education - Count,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
51,B_Q12c,Activities - Last year - On the job training,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
52,B_Q12d,Activities - Last year - On the job training - Count,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
53,B_Q12d_C,Activities - Last year - On the job training - Count (top-coded at 5),Integer,Ratio,1,0,Background questionnaire (derived),,BQ (numeric),Values,
54,B_Q12e,Activities - Last year - Seminars or workshops,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
55,B_Q12f,Activities - Last year - Seminars or workshops - Count,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
56,B_Q12f_C,Activities - Last year - Seminars or workshops - Count (top-coded at 5),Integer,Ratio,1,0,Background questionnaire (derived),,BQ (numeric),Values,
57,B_Q12g,Activities - Last year - Private lessons,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
58,B_Q12h,Activities - Last year - Private lessons - Count,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
59,B_Q12h_C,Activities - Last year - Private lessons - Count (top-coded at 5),Integer,Ratio,1,0,Background questionnaire (derived),,BQ (numeric),Values,
60,B_D12h,Activities - Last year - Number of learning activities (DERIVED BY CAPI),Integer,Nominal,1,0,Background questionnaire,Learning activity report,BQ (numeric),Values,
61,B_Q13,Activities - Last year - Activity specified,Integer,Nominal,1,0,Background questionnaire,Activity types,BQ (numeric),Values,
62,B_Q14a,Activities - Last year - Job related,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
63,B_Q14b,Activities - Last year - Reason for participating,Integer,Nominal,2,0,Background questionnaire,Reasons for participation,BQ (numeric),Values,
64,B_Q15a,Activities - Last year - Employed,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
65,B_Q15b,Activities - Last year - During working hours,Integer,Ordinal,1,0,Background questionnaire,Working hours use,BQ (numeric),Values,
66,B_Q15c,Activities - Last year - Useful for job,Integer,Ordinal,1,0,Background questionnaire,Usefulness (1-4),BQ (numeric),Values,
67,B_Q16,Activities - Last year - Grant from employer,Integer,Nominal,1,0,Background questionnaire,Employer contribution to studies,BQ (numeric),Values,
68,B_Q17,Activities - Last year - Time spend - Unit,Integer,Nominal,1,0,Background questionnaire,Time units,BQ (numeric),Values,
69,B_Q18a,Activities - Last year - Time spend for activities - Weeks,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
70,B_Q19a,Activities - Last year - Time spend for activities - Days,Integer,Ratio,3,0,Background questionnaire,,BQ (numeric),Values,
71,B_Q20a,Activities - Last year - Time spend for activities - Hours,Integer,Ratio,4,0,Background questionnaire,,BQ (numeric),Values,
72,B_Q20b,Activities - Last year - Time spend for activities - Proportion of job-related hours,Integer,Ordinal,1,0,Background questionnaire,Time spent,BQ (numeric),Values,
73,B_Q26a,Activities - Last year - Wanted but didn't start,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
74,B_Q26a_T,Training or education for career or job wanted but not taken in last 12 months (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),Trend - BQ (nummeric) collapsed,Values,
75,B_Q26b,Activities - Last year - Wanted but didn't start - Reason,Integer,Nominal,2,0,Background questionnaire,Reasons for non-participation,BQ (numeric),Values,
76,C_Q01a,Current status/work history - Last week - Paid work,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
77,C_Q01b,Current status/work history - Last week - Away from job but will return,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
78,C_Q01c,Current status/work history - Last week - Unpaid work for own business,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
79,C_Q02a,Current status/work history - Last month - Looking for paid work,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
80,C_Q02b,Current status/work history - Last month - Waiting to start job,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
81,C_Q02c,Current status/work history - Last month - Waiting to start job - Next 3 months,Integer,Nominal,1,0,Background questionnaire,Start of job within next three months,BQ (numeric),Values,
82,C_Q03_01,Current status/work history - Last month - Reason not looking for work - Waiting for result of application,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
83,C_Q03_02,Current status/work history - Last month - Reason not looking for work - Being a student,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
84,C_Q03_03,Current status/work history - Last month - Reason not looking for work - Looking after the family,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
85,C_Q03_04,Current status/work history - Last month - Reason not looking for work - Temp sick,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
86,C_Q03_05,Current status/work history - Last month - Reason not looking for work - Long-term illness,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
87,C_Q03_06,Current status/work history - Last month - Reason not looking for work - Nothing available,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
88,C_Q03_07,Current status/work history - Last month - Reason not looking for work - Did not get around,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
89,C_Q03_08,Current status/work history - Last month - Reason not looking for work - No need,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
90,C_Q03_09,Current status/work history - Last month - Reason not looking for work - Retired,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
91,C_Q03_10,Current status/work history - Last month - Reason not looking for work - Other,Integer,Nominal,1,0,Background questionnaire,Marked (1) / Not marked (2),BQ (numeric),Values,
92,C_S03,Current status/work history - Last month - Months looking for paid work,Integer,Ratio,3,0,Background questionnaire,,BQ (numeric),Values,
93,C_Q04a,Current status/work history - Last month - Ways of looking for work - Contact public employment,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
94,C_Q04b,Current status/work history - Last month - Ways of looking for work - Contact private agency,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
95,C_Q04c,Current status/work history - Last month - Ways of looking for work - Apply to employers,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
96,C_Q04d,Current status/work history - Last month - Ways of looking for work - Ask family/friends,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
97,C_Q04e,Current status/work history - Last month - Ways of looking for work - Place/answer advertisements,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
98,C_Q04f,Current status/work history - Last month - Ways of looking for work - Study advertisements,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
99,C_Q04g,Current status/work history - Last month - Ways of looking for work - Recruitment test,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
100,C_Q04h,Current status/work history - Last month - Ways of looking for work - Premises,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
101,C_Q04i,Current status/work history - Last month - Ways of looking for work - Licenses/financial resources,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
102,C_Q04j,Current status/work history - Last month - Ways of looking for work - Other,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
103,C_D04,Current status/work history - Last month - Active steps to find job (DERIVED BY CAPI),Integer,Nominal,1,0,Background questionnaire,Active steps to find work (AUS),BQ (numeric),Values,
104,C_Q05,Current status/work history - Ability to start job within 2 weeks,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
105,C_D05,Current status/work history - Employment status (DERIVED BY CAPI),Integer,Nominal,1,0,Background questionnaire,Empoyment status,BQ (numeric),Values,
106,C_Q06,Current status/work history - Last week - Number of jobs,Integer,Nominal,1,0,Background questionnaire,Jobs in last weeks,BQ (numeric),Values,
107,C_D06,Current status/work history - Current - Paid job or family business (DERIVED BY CAPI),Integer,Nominal,1,0,Background questionnaire,Work status paid/family,BQ (numeric),Values,
108,C_Q07,Current status/work history - Subjective status,Integer,Nominal,2,0,Background questionnaire,Current employment situation,BQ (numeric),Values,
109,C_Q07_T,Current work situation (Trend-IALS/ALL),Integer,Nominal,2,0,Background questionnaire (trend),Trend - Current work situation (1-6),Trend - BQ (nummeric) collapsed,Values,
110,C_Q08a,Current status/work history - Ever paid work,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
111,C_Q08b,Current status/work history - Last year - Paid work,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
112,C_Q08c1,Current status/work history - Age when stopped working in last job,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
113,C_Q08c1_C,"Current status/work history - Age when stopped working in last job (categorised, 10 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),Derived - Age categories (1-10),BQ (numeric),Values,
114,C_Q08c2,Current status/work history - Year when stopped working in last job,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
115,C_D08c,Current status/work history - Left work in past 5 years (DERIVED BY CAPI),Integer,Nominal,1,0,Background questionnaire,Work left in past 5 years,BQ (numeric),Values,
116,C_Q09,Current status/work history - Years of paid work during lifetime,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
117,C_Q09_C,Current status/work history - Years of paid work during lifetime (top-coded at 47),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
118,C_D09,Current status/work history - Work experience (DERIVED BY CAPI),Integer,Nominal,1,0,Background questionnaire,Work status/experience,BQ (numeric),Values,
119,C_D09_T,Worked at job or business in last 12 months (any number of hours) (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Yes (1) / No (2),Trend - BQ (nummeric) collapsed,Values,
120,C_Q10a,Current status/work history - Last 5 years - How many different firms or organisations,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
121,C_Q10a_C,Current status/work history - Last 5 years - How many different firms or organisations (top-coded at 7),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
122,D_Q03,Current work - Economic sector,Integer,Nominal,1,0,Background questionnaire,Sectors of economy,BQ (numeric),Values,
123,D_Q04,Current work - Employee or self-employed,Integer,Nominal,1,0,Background questionnaire,Employment types,BQ (numeric),Values,
124,D_Q04_T,Status at this job or business - six levels (Trend-IALS/ALL),Integer,Nominal,2,0,Background questionnaire (trend),Trend - Job status (1-6),Trend - BQ (nummeric) collapsed,Values,
125,D_Q04_T1,Status at this job or business - four levels (Trend-IALS/ALL),Integer,Nominal,1,0,Background questionnaire (trend),Trend - Job status (1-5),Trend - BQ (nummeric) collapsed,Values,
126,D_Q05a1,Current work - Start of work for employer - Age,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
127,D_Q05a1_C,"Current work - Start of work for employer - Age (categorised, 9 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),"Derived - Age categories (1-9, 55+)",BQ (numeric),Values,
128,D_Q05a2,Current work - Start of work for employer - Year,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
129,D_Q05a3,Current work - Start of work for employer - Month,Integer,Nominal,2,0,Background questionnaire,Months,BQ (numeric),Values,
130,D_Q05b1,Current work - Start of work for business - Age,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
131,D_Q05b1_C,"Current work - Start of work for business - Age (categorised, 9 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),"Derived - Age categories (1-9, 55+)",BQ (numeric),Values,
