ITEM,NAME,CODEBOOK,RESPONSE
PS1_1,Party Invitations - 1,U01a000S,"POLYTOMOUS (0 to 3), No response (R ), Not reached / not attempted (N)"
PS1_2,Party Invitations - 2,U01b000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS1_3,CD Tally,U03a000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS1_4,Sprained Ankle - 1,U06a000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS1_5,Sprained Ankle - 2,U06b000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS1_6,Tickets,U21x000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS1_7,Class Attendance,U04a000S,"POLYTOMOUS (0 to 2), No response (R ), Not reached / not attempted (N)"
PS2_1,Club Membership - 1,U19a000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS2_2,Club Membership - 2,U19b000S,"POLYTOMOUS (0 to 3), No response (R ), Not reached / not attempted (N)"
PS2_3,Book Order,U07x000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS2_4,Meeting Room,U02x000S,"POLYTOMOUS (0 to 3), No response (R ), Not reached / not attempted (N)"
PS2_5,Reply All,U16x000S,"MISSING (0), CORRECT (1), INCORRECT (7), Not reached / not attempted (N)"
PS2_6,Locate Email,U11b000S,"POLYTOMOUS (0 to 3), No response (R ), Not reached / not attempted (N)"
PS2_7,Lamp Return,U23x000S,"POLYTOMOUS (0 to 3), No response (R ), Not reached / not attempted (N)"
