vname,mean
.chain,1.5
.iteration,15005
kappa.1,17.48435845
kappa.2,0.132874706
kappa.3,0.27918708800000003
kappa.4,0.191334537
kappa.5,0.2769984275
kappa.6,0.30278879399999997
kappa.7,0.3583681675
kappa.8,0.5421685355
kappa.9,6.730600975
kappa.10,0.1
kappa.11,10.252276015
kappa.12,0.347768449
kappa.13,0.609176843
kappa.14,0.3864078935
kappa.15,2.229523712
kappa.16,2.0206319825
kappa.17,0.3852110775
kappa.18,9.95471624
kappa.19,0.7408280055
kappa.20,1.3605216565
kappa.21,0.7802034265
kappa.22,7.3437162975
kappa.23,1.015297809
kappa.24,0.415418036
kappa.25,1.4041778645
kappa.26,9.9216037525
kappa.27,0.49921161
kappa.28,0.611929216
kappa.29,1.207346712
kappa.30,0.9766253535
kappa.31,1.0802641285
kappa.32,14.381033395
kappa.33,0.5860014045
kappa.34,22.28625695
kappa.35,10.4096079
kappa.36,1.7094672915
kappa.37,0.4956950005
kappa.38,0.4320198165
kappa.39,18.984905635
kappa.40,1.549659729
kappa.41,5.245733353
kappa.42,21.3075356765
kappa.43,2.684885198
kappa.44,2.3983191375
kappa.45,2.335474789
kappa.46,2.6327738315
kappa.47,27.892670707
kappa.48,30.7975978495
kappa.49,1.9432506775
tau.1,6.098393079
tau.2,8.394610895
tau.3,5.235169488
tau.4,5.2270244145
tau.5,14.285199
tau.6,11.47046118
tau.7,4.406012615
tau.8,13.05028998
tau.9,6.729069461
tau.10,9.70498583
tau.11,19.521671605
tau.12,3.8412268935
tau.13,14.144295455
tau.14,9.226193255
tau.15,9.637168024
tau.16,9.4517315145
tau.17,8.892588817
tau.18,6.290469909
tau.19,6.5602440275
tau.20,13.308094715
tau.21,11.4787613532
tau.22,9.1384105865
tau.23,10.133454785
tau.24,11.993561053
tau.25,10.62187454
tau.26,13.79515656
tau.27,12.439669665
tau.28,8.5831641625
tau.29,25.760030625
tau.30,6.602503455
tau.31,9.9588725265
tau.32,9.5971473375
tau.33,4.251684048
tau.34,9.87621554
tau.35,9.527875935
tau.36,19.90059438
tau.37,14.737108745
tau.38,10.9024097855
tau.39,4.3862185285
tau.40,6.4498726115
tau.41,9.447476995
tau.42,12.56595725
tau.43,15.13529168
tau.44,10.786869435
tau.45,9.2658768565
tau.46,14.278299275
tau.47,9.36697608
tau.48,7.5506467155
tau.49,7.114673998
tau.50,7.162592913
tau.51,15.63424618
tau.52,5.6209515545
tau.53,5.6126796465
tau.54,10.77187664
tau.55,3.3845450445
tau.56,9.650084082
tau.57,8.25974913
tau.58,7.2111991545
tau.59,9.0725303565
tau.60,8.5263114325
tau.61,11.440131937
tau.62,16.1154782125
tau.63,7.1316993825
tau.64,5.065045606
tau.65,7.055255271
tau.66,11.646879655
tau.67,8.78172047
tau.68,8.514429925
tau.69,5.706028666
tau.70,9.9061656605
tau.71,5.598615236
tau.72,11.155399741
tau.73,10.618801025
tau.74,5.6165203695
tau.75,8.426618051
tau.76,9.068295554
tau.77,6.7854002745
tau.78,10.626661165
tau.79,12.3854200695
tau.80,14.1805242715
tau.81,7.968460019
tau.82,11.279103595
tau.83,3.964624871
tau.84,12.987154625
tau.85,5.779793728
tau.86,8.234695658
tau.87,6.974340342
tau.88,18.36723357
tau.89,9.495450818
tau.90,10.300294191
tau.91,23.26736163
tau.92,10.735161365
tau.93,9.5795823895
tau.94,9.510959145
tau.95,6.4323072225
tau.96,6.244205302
tau.97,7.2936205585
tau.98,12.9894223295
tau.99,9.27483729
tau.100,7.0245725955
tau.101,7.4562492605
tau.102,7.5262454205
tau.103,12.14179662
tau.104,7.761877293
tau.105,9.345984372
tau.106,9.9262629015
tau.107,8.8119130885
tau.108,9.231597445
tau.109,20.53859645
tau.110,9.4999575
tau.111,11.37735458
tau.112,6.962160335
tau.113,10.911096515
tau.114,10.7322678065
tau.115,16.345116655000002
tau.116,8.1301300695
tau.117,6.0233301095
tau.118,6.689045547
tau.119,27.216509455
tau.120,8.30738931655
tau.121,12.91814706
tau.122,6.0708548815
tau.123,8.7117715795
tau.124,7.86322391
tau.125,10.445800894
tau.126,6.443232135
tau.127,10.0903353025
tau.128,12.08389789
tau.129,8.8817355
tau.130,9.02596845
tau.131,19.80247249
tau.132,8.51462687
tau.133,9.8112307445
tau.134,11.35833245
tau.135,10.94224441
tau.136,12.067160455
tau.137,10.945176193
tau.138,10.636756235
tau.139,5.56669278
tau.140,10.186803659
tau.141,8.776073347
tau.142,8.31971647
tau.143,13.171724115
tau.144,10.747614036
tau.145,7.8236380205
tau.146,9.5369972095
tau.147,13.45405772
tau.148,11.7271194675
tau.149,9.90038005
tau.150,11.71469916
tau.151,6.2527913665
tau.152,5.9214738115
tau.153,15.838053515
tau.154,9.5838678775
tau.155,7.9894130225
tau.156,8.4698930785
tau.157,14.4248492385
tau.158,10.4297318635
tau.159,9.807053115
tau.160,7.3669583455
tau.161,9.824847331
tau.162,11.344947125
tau.163,18.49008219
tau.164,8.613772175
tau.165,8.6208854955
tau.166,6.221658499
tau.167,20.684797917
tau.168,8.8223286815
tau.169,14.572824975
tau.170,5.519313945
tau.171,12.9246496145
tau.172,6.512365944
tau.173,12.5270308845
tau.174,13.723007705
tau.175,4.9153376425
tau.176,14.388597665
tau.177,11.7082879025
tau.178,22.737461955
tau.179,7.859698555
tau.180,18.423706685
tau.181,8.454650575
tau.182,15.30247322
tau.183,13.714347375
tau.184,16.110587815
tau.185,8.2196406855
tau.186,8.988259828
tau.187,10.143996975
tau.188,14.268891205
tau.189,6.648816143
tau.190,6.5574408285
tau.191,12.728996685
tau.192,7.023111714
tau.193,16.330991715
tau.194,9.707633169
tau.195,10.558757585
tau.196,9.945848176
tau.197,6.8636361515
tau.198,12.698951415
tau.199,9.496466526
tau.200,6.385100292
tau.201,8.109087515
tau.202,5.114288752
tau.203,10.436055595
tau.204,12.428629038
tau.205,6.96677457
tau.206,9.633848155
tau.207,5.2995588855
tau.208,11.20878997
tau.209,10.7544039185
tau.210,11.980462918
tau.211,11.769656675
tau.212,11.186427985
tau.213,15.00819656
tau.214,7.9220493455
tau.215,6.9980086555
tau.216,9.38557149
tau.217,20.20981651
tau.218,15.80234092
tau.219,18.920250225
tau.220,13.34057425
tau.221,2.440306312
tau.222,15.693837415
tau.223,13.0538884065
tau.224,9.13687562
tau.225,10.054221935
tau.226,6.394997361
tau.227,12.718111635
tau.228,14.617632535
tau.229,9.2731774425
tau.230,11.812853735
tau.231,13.173839234
tau.232,8.36916755
tau.233,7.7035132605
tau.234,5.385457106
tau.235,16.230276435
tau.236,8.092414331
tau.237,8.7184251895
tau.238,10.201487516
tau.239,22.622706305
tau.240,7.7373496645
tau.241,12.694755347
tau.242,5.8568789709999995
tau.243,6.040360242
tau.244,10.537473655
tau.245,8.3632562715
tau.246,11.4705899415
tau.247,11.23953506
tau.248,8.5135474245
tau.249,6.0741798765
tau.250,12.6938174585
tau.251,8.894492733
tau.252,10.161540033
tau.253,7.923645001
tau.254,8.8285924135
tau.255,14.885800005
tau.256,10.369021793
tau.257,12.554328906
tau.258,10.024738741
tau.259,9.931520815
tau.260,12.44127855
tau.261,13.974326035
tau.262,5.4757586985
tau.263,7.2243752365
tau.264,8.496451255
tau.265,8.069540805
tau.266,1.7612520075
tau.267,10.14031883
tau.268,5.865461836
tau.269,12.5019852625
tau.270,6.891465635
tau.271,19.215583955
tau.272,13.2432231135
tau.273,21.906234005
tau.274,18.991682995
tau.275,12.006443084
tau.276,14.609889251
tau.277,16.414580935
tau.278,6.094993758
tau.279,9.47074145
tau.280,6.929055359
tau.281,6.8675426525
tau.282,8.40654159
tau.283,9.13079487
tau.284,6.8634394595
tau.285,13.671741425
tau.286,13.96437358
tau.287,7.4657797865
tau.288,10.39970935
tau.289,6.6688423844999996
tau.290,5.3504135825
tau.291,8.809139133
tau.292,6.547890075
tau.293,10.70861591
tau.294,16.82753194
tau.295,16.21229187
tau.296,11.6658239405
tau.297,4.860150224
tau.298,7.374274905
tau.299,9.1079778095
tau.300,5.753310005
tau.301,8.843382875
tau.302,15.1702233815
tau.303,6.17613266
tau.304,10.8657412995
tau.305,8.9005720005
tau.306,5.15192185
tau.307,9.918863775
tau.308,8.357353948
tau.309,9.5078474175
tau.310,17.457605885
tau.311,7.64198202
tau.312,10.51296897
tau.313,11.3633580185
tau.314,18.527236775
tau.315,10.47089401
tau.316,11.356319155
tau.317,14.616760815
tau.318,8.8517651225
tau.319,7.750606472
tau.320,11.5041002
tau.321,9.4775845705
tau.322,8.619355265
tau.323,9.96230414
tau.324,7.194837133
tau.325,7.644959405
tau.326,9.119717449
tau.327,8.615019688
tau.328,13.471748972
tau.329,10.938215685
tau.330,4.7189771455
tau.331,10.350332312
tau.332,2.846465683
tau.333,10.829313525
tau.334,12.304103645
tau.335,10.8298780465
tau.336,14.910872435
tau.337,9.30323226865
tau.338,8.0597857575
tau.339,8.5818666255
tau.340,5.977005424
tau.341,12.1465495305
tau.342,9.4881801435
tau.343,14.942519815
tau.344,14.458039775
tau.345,6.119188989
tau.346,18.236542475
tau.347,7.9166581175
tau.348,19.505663805
tau.349,13.1061321725
tau.350,8.676868901
tau.351,8.113050553
tau.352,11.28799912
tau.353,10.93765229
tau.354,8.778164245
tau.355,9.106418651
tau.356,16.205532945
tau.357,10.16077028
tau.358,18.92484099
tau.359,12.236718565
tau.360,8.556530398
tau.361,12.541115355
tau.362,13.144134015
tau.363,25.53023096
tau.364,13.925239555
tau.365,11.187580075
tau.366,11.051423718
tau.367,4.823136291
tau.368,9.039319116
tau.369,12.8484078
tau.370,6.027082275
tau.371,11.77286373
tau.372,15.621772825
tau.373,9.405800215
tau.374,25.76775709
tau.375,9.118991221
tau.376,11.157870985
tau.377,14.46012086
tau.378,28.130981805
tau.379,12.837301045
tau.380,9.820761355
tau.381,13.19873472
tau.382,6.49694088
tau.383,16.05363112
tau.384,9.09615938
tau.385,9.085206
tau.386,10.97900854
tau.387,19.091492595
tau.388,9.585892015
tau.389,11.3951721675
tau.390,15.951826375
tau.391,7.001588507
tau.392,18.730704865
tau.393,12.593224249
tau.394,7.30388654
tau.395,19.966266655
tau.396,12.85993859
tau.397,7.2576788645
tau.398,12.04964573
tau.399,6.05155703
tau.400,8.764088683
tau.401,12.890974965
tau.402,18.800396955
tau.403,10.723431845
tau.404,11.940632130000001
tau.405,10.71651954
tau.406,8.156179564
tau.407,13.91953641
tau.408,6.8252765775
tau.409,13.1144470385
tau.410,11.929772125
tau.411,10.6196512515
tau.412,15.23030421
tau.413,6.2838421025
tau.414,11.2129124305
tau.415,11.44535643
tau.416,19.40586722
tau.417,9.054360925
tau.418,10.308428965
tau.419,22.707978
tau.420,4.3443476615
tau.421,8.2430100215
tau.422,23.33888539
tau.423,8.81878562
tau.424,10.64846596
tau.425,11.056306841
tau.426,17.8207245
tau.427,4.1594647925
tau.428,6.633602914
tau.429,6.111464286
tau.430,11.33535516
tau.431,5.9853116245
tau.432,6.6714502695
tau.433,8.7932420985
tau.434,4.927465239
tau.435,9.2077621075
tau.436,10.39243227
tau.437,29.11664003
tau.438,16.106714005
tau.439,16.051630915
tau.440,10.23070236
tau.441,8.7908766375
tau.442,10.997458155
tau.443,8.918252576
tau.444,5.3296834645
tau.445,4.3053752185
tau.446,11.779116023
tau.447,6.5448521145
tau.448,8.626111488
tau.449,8.4833449465
tau.450,11.83883537225
tau.451,7.5884631705
tau.452,20.187688945
tau.453,11.247181627
tau.454,15.6313538765
tau.455,11.692049445
tau.456,11.482742269
tau.457,7.766207124
tau.458,9.91528275
tau.459,13.8463664675
tau.460,6.840701735
tau.461,14.007156287
tau.462,8.800782968
tau.463,10.57093233
tau.464,11.679254137
tau.465,5.706016285
tau.466,11.121407541
tau.467,8.911941918
tau.468,14.721876431
tau.469,8.1084216615
tau.470,11.1171638465
tau.471,7.99439169
tau.472,9.8233425185
tau.473,9.00194643
tau.474,10.0808886735
tau.475,9.721483985
tau.476,7.532405909
tau.477,5.1696113285
tau.478,7.8927575925
tau.479,5.8390054165
tau.480,11.929365055
tau.481,18.796593485
tau.482,11.07015665
tau.483,9.1297451185
tau.484,8.83040589
tau.485,8.2630887335
tau.486,13.86218425
tau.487,8.0287708185
tau.488,9.723519605
tau.489,6.5694390175
tau.490,3.4636759935
tau.491,9.59972007
tau.492,21.34698249
tau.493,9.876758549
tau.494,13.438181923
tau.495,8.651571651
tau.496,5.700480857
tau.497,15.91181455
tau.498,11.902052885
tau.499,10.92729342
tau.500,20.206544235
tau.501,9.4869179935
tau.502,10.6910779965
tau.503,8.710945175
tau.504,18.28691414
tau.505,10.2174016945
tau.506,12.640334575
tau.507,18.27252859
tau.508,7.850486973
tau.509,7.7397473975
tau.510,15.19497533
tau.511,4.0549893945
