vname,mean
.chain,1.5
.iteration,15005
kappa.1,0.0598702581
kappa.2,0.859104899
kappa.3,0.457013472
kappa.4,0.0932105309
kappa.5,0.308183384
kappa.6,0.1217293673
kappa.7,0.2716166355
kappa.8,0.4143899025
kappa.9,0.8073325265
kappa.10,0.394203682
kappa.11,0.08465162995
kappa.12,0.11277404935
kappa.13,0.1417791638
kappa.14,0.09255366985
kappa.15,0.14604687
kappa.16,1.30374951
kappa.17,0.193413903
kappa.18,0.7503394885
kappa.19,0.1
kappa.20,0.169471841
kappa.21,0.1616149295
kappa.22,0.04441996675
kappa.23,0.06375897085
kappa.24,0.0383122104
kappa.25,0.0430893578
kappa.26,0.04968649565
kappa.27,0.059626586349999997
kappa.28,15.699780807
kappa.29,0.0800414466
kappa.30,0.2238793635
kappa.31,0.09099622405
kappa.32,0.3166458365
kappa.33,0.1669452356
kappa.34,0.45606841
kappa.35,0.1396033395
kappa.36,0.1478741965
kappa.37,0.14149752795
kappa.38,0.4883629715
kappa.39,10.0024556855
kappa.40,0.385335319
kappa.41,0.2183709205
kappa.42,2.89361638
kappa.43,0.2042241055
kappa.44,0.1808990585
kappa.45,0.164157424
kappa.46,0.2414378692
kappa.47,2.6984048745
kappa.48,2.3152831065
kappa.49,0.320734348
kappa.50,0.12856551135
kappa.51,1.849678049
kappa.52,2.4973217045
kappa.53,16.4687320055
kappa.54,0.1227632974
kappa.55,0.5150996605
kappa.56,3.236919945
kappa.57,1.597694702
kappa.58,4.2239348205
kappa.59,4.4085519
kappa.60,10.5744530635
kappa.61,12.799940985
kappa.62,0.3422866035
kappa.63,3.442801574
kappa.64,2.5228777575
kappa.65,0.4008583689
kappa.66,5.339020605
kappa.67,4.787553705
kappa.68,4.2951205685
kappa.69,1.1945136355
kappa.70,0.672011713
kappa.71,0.3681809275
kappa.72,3.291138431
kappa.73,2.2967328685
kappa.74,5.881346242
kappa.75,8.157766625
kappa.76,2.415241624
kappa.77,8.702634125
kappa.78,20.994093697
kappa.79,30.4705164615
kappa.80,9.882605055
kappa.81,0.379177694
kappa.82,2.639539242
kappa.83,32.84655035
kappa.84,79.3412825
kappa.85,1.3943079145
kappa.86,1.225911198
kappa.87,2.5128833885
kappa.88,3.7383538845
kappa.89,8.38389487
kappa.90,7.0962973
kappa.91,21.89589419
kappa.92,3.7950837905
kappa.93,12.047222063
kappa.94,4.164946815
kappa.95,0.66793983105
kappa.96,5.5014184015
kappa.97,2.8807611865
kappa.98,24.938571595
kappa.99,2.8563947215
kappa.100,7.706140785
kappa.101,1.7725428725
kappa.102,4.0231082335
kappa.103,5.412797116
kappa.104,14.6497587545
kappa.105,12.2466803175
kappa.106,5.3375068675
kappa.107,15.224538707
kappa.108,1.125962656
kappa.109,5.648137729
kappa.110,2.80472989
kappa.111,0.6215731745
kappa.112,2.6785327955
kappa.113,3.531440827
kappa.114,27.0305239
kappa.115,56.7127913
kappa.116,4.8835805835
kappa.117,11.765803294
kappa.118,0.8461429535
kappa.119,1.5713041375
kappa.120,4.027362609
kappa.121,6.5532214725
kappa.122,13.624268889
kappa.123,13.8010749485
kappa.124,13.350491519
kappa.125,7.1921683715
kappa.126,7.654521125
kappa.127,1.8258490255
kappa.128,6.9323829
kappa.129,14.8588391905
kappa.130,10.132885068
kappa.131,12.826495276
kappa.132,7.32131202
kappa.133,6.8019769955
kappa.134,14.11552929
kappa.135,14.069331729
kappa.136,14.60470524
kappa.137,4.352990265
kappa.138,8.7842584065
kappa.139,11.3289510825
kappa.140,4.668858099
kappa.141,9.791709464
kappa.142,13.120998345
kappa.143,21.6283733375
kappa.144,16.825758796
kappa.145,10.00551865675
kappa.146,2.69987462305
kappa.147,9.2274904535
kappa.148,6.4755853315
kappa.149,8.199495788
kappa.150,5.4584337421
kappa.151,14.036238616
kappa.152,14.7159368635
kappa.153,5.4571833865
kappa.154,16.9607582955
kappa.155,7.181101703
kappa.156,13.220487603
kappa.157,9.912888355
kappa.158,17.1773159335
kappa.159,18.7197637225
kappa.160,20.148227813
kappa.161,12.6613038715
kappa.162,11.144448975
kappa.163,15.703295507
kappa.164,12.0794419015
kappa.165,20.2135883145
kappa.166,14.112953974
kappa.167,15.2435102745
kappa.168,16.2423755895
kappa.169,16.0310005045
kappa.170,15.9136002331
kappa.171,10.944059324
kappa.172,15.514739836
tau.1,7.1948185485
tau.2,10.894462685
tau.3,9.60244376
tau.4,16.7917754
tau.5,11.371191155
tau.6,14.099755595
tau.7,3.7974271565
tau.8,6.1448326935
tau.9,11.70540187
tau.10,4.224489412
tau.11,13.502609167
tau.12,3.7368093705
tau.13,8.11564627
tau.14,5.2476868075
tau.15,17.45157892
tau.16,6.3769962954
tau.17,9.797476535
tau.18,6.997786424
tau.19,20.337553685
tau.20,6.9584657815
tau.21,12.0339901105
tau.22,5.952087324
tau.23,5.6572056865
tau.24,3.410151125
tau.25,9.5524238255
tau.26,18.087492485
tau.27,14.567883635
tau.28,15.246305515
tau.29,20.46701754
tau.30,8.859723257
tau.31,11.197413335
tau.32,6.336697631
tau.33,7.2522813445
tau.34,9.242338975
tau.35,13.328318725
tau.36,18.95375213
tau.37,13.988200665
tau.38,7.291742894
tau.39,16.353157785
tau.40,4.4980605185
tau.41,2.33847643695
tau.42,10.385479793
tau.43,6.0025184515
tau.44,3.887576541
tau.45,3.2029009193
tau.46,2.9646908748
tau.47,12.221505525
tau.48,5.031956266
tau.49,11.8104720655
tau.50,4.33448862
tau.51,13.49495576
tau.52,8.5702895135
tau.53,9.95652089
tau.54,5.50546079695
tau.55,4.6628919965
tau.56,4.004018221
tau.57,13.96355628
tau.58,8.603282685
tau.59,6.794085272
tau.60,3.7003806335
tau.61,4.3594252535
tau.62,12.627004779
tau.63,9.0346431435
tau.64,17.766828771
tau.65,16.845645372
tau.66,5.1972493685
tau.67,3.48746765715
tau.68,9.7761397775
tau.69,18.312530135
tau.70,11.470341525
tau.71,2.98132936525
tau.72,12.862768475
tau.73,4.492484257
tau.74,4.5290987555
tau.75,6.4991842755
tau.76,6.544932815
tau.77,20.113917205
tau.78,13.36183291
tau.79,5.4901041285
tau.80,11.04351836
tau.81,13.533609425
tau.82,14.787732665
tau.83,2.8695584572
tau.84,7.436034725
tau.85,4.085416597
tau.86,5.7293377975
tau.87,6.245712099
tau.88,10.565444435
tau.89,3.0922815242
tau.90,7.579619246
tau.91,6.8324326505
tau.92,10.93578263
tau.93,15.409699895
tau.94,8.8228826775
tau.95,4.747310801
tau.96,14.770336605
tau.97,19.505634875
tau.98,11.81016703
tau.99,6.40767325
tau.100,5.3165970835
tau.101,5.7608972705
tau.102,13.04207359
tau.103,8.2072684995
tau.104,18.360179105
tau.105,18.73689343
tau.106,14.920118895
tau.107,8.250330745
tau.108,5.4582528756
tau.109,7.191957465
tau.110,8.2059669205
tau.111,8.3074380015
tau.112,9.12656931
tau.113,3.6481689209
tau.114,17.92438938
tau.115,21.603062465
tau.116,4.362912439
tau.117,3.5748051845
tau.118,6.5732490685
tau.119,24.70663768
tau.120,15.2971319605
tau.121,10.771201956
tau.122,13.794525165
tau.123,5.72652612
tau.124,14.323534375
tau.125,11.6270827375
tau.126,8.772189695
tau.127,11.451140345
tau.128,24.58951253
tau.129,3.702452215
tau.130,3.8195081915
tau.131,11.93258356
tau.132,6.680084848
tau.133,4.964938837
tau.134,2.3839533558
tau.135,7.1163947935
tau.136,18.967796035
tau.137,12.71480183165
tau.138,26.369118425
tau.139,6.347930849
tau.140,22.3326142
tau.141,6.1725767515
tau.142,10.475358155
tau.143,7.354052686
tau.144,7.7729261225
tau.145,21.111242175
tau.146,8.968717072
tau.147,16.84764283
tau.148,14.7793467915
tau.149,1.89177824245
tau.150,5.57219392425
tau.151,9.233796038
tau.152,2.28109055295
tau.153,25.34799873
tau.154,20.92276214
tau.155,7.5297520825
tau.156,4.818337885
tau.157,10.9664056695
tau.158,6.887317246
tau.159,5.9109417845
tau.160,4.0923215709
tau.161,5.8499579715
tau.162,5.431783392
tau.163,12.439108885
tau.164,4.3802156595
tau.165,4.9504058235
tau.166,7.179200538
tau.167,3.8952483925
tau.168,5.44813631365
tau.169,12.140230535
tau.170,16.192630273
tau.171,10.6426493
tau.172,9.1076258965
tau.173,5.6166943895
tau.174,5.6812371855
tau.175,15.067618
tau.176,3.481646899
tau.177,8.519581615
tau.178,5.849229772
tau.179,17.642450855
tau.180,6.600320238
tau.181,8.0787287435
tau.182,8.64487406885
tau.183,6.642205399
tau.184,8.012559382
tau.185,14.615266115
tau.186,8.993079928
tau.187,7.0180533885
tau.188,19.001833075
tau.189,5.0334290315
tau.190,6.9839790695
tau.191,5.058223984
tau.192,23.515888605
tau.193,3.370867275
tau.194,27.615816055
tau.195,17.70908559
tau.196,14.714919865
tau.197,4.910499118
tau.198,8.310462064
tau.199,7.494415831
tau.200,5.6661738885
tau.201,8.137842025
tau.202,17.097487135
tau.203,13.1882369275
tau.204,5.9020073145
tau.205,8.610488063
tau.206,14.712566755
tau.207,10.685668143000001
tau.208,17.490581695
tau.209,8.67026238
tau.210,17.354778975
tau.211,4.70246320355
tau.212,8.200014585
tau.213,13.139330855
tau.214,12.241975733
tau.215,18.61772473
tau.216,23.031368555
tau.217,20.4296330745
tau.218,20.213189255
tau.219,6.8020290105
tau.220,6.53530957
tau.221,24.60323626
tau.222,13.4573430065
tau.223,12.070972345
tau.224,13.24939145
tau.225,8.4993592585
tau.226,15.206930165
tau.227,7.2937875025
tau.228,3.843570629
tau.229,28.879048835
tau.230,8.663624151
tau.231,7.507351934
tau.232,3.8024448421
tau.233,6.0888250785
tau.234,5.998400415
tau.235,11.3237134
tau.236,5.3576757515
tau.237,18.336052283
tau.238,10.6605025265
tau.239,2.4597840125
tau.240,8.256110245
tau.241,8.228812465
tau.242,9.76192745
tau.243,6.2933186025
tau.244,5.4228070795
tau.245,18.147529933
tau.246,4.4428952275
tau.247,16.515146055
tau.248,13.92340194
tau.249,17.67324974
tau.250,14.72064931
tau.251,18.471316365
tau.252,5.775043005
tau.253,3.0889780489
tau.254,25.937656744999998
tau.255,21.90964171
tau.256,7.1699424615
tau.257,3.5087537855
tau.258,10.795154475
tau.259,13.6937868095
tau.260,13.4401544585
tau.261,5.1727598525
tau.262,12.042179405
tau.263,17.900818595
tau.264,11.42313116
tau.265,12.624552635
tau.266,39.7836114
tau.267,11.52210662
tau.268,28.44998771
tau.269,5.0528588775
tau.270,13.1917634855
tau.271,13.109056739
tau.272,12.521650355
tau.273,12.016635533
tau.274,6.0892370435
tau.275,8.952289165
tau.276,25.37270167
tau.277,7.9247328915
tau.278,4.421191021
tau.279,10.81177714
tau.280,18.13408565
tau.281,13.404049145
tau.282,4.522829008
tau.283,20.170789155
tau.284,9.83445436
tau.285,18.267604655
tau.286,8.31154196
tau.287,16.15647262
tau.288,2.3903425583
tau.289,8.4948263999999991
tau.290,8.54409872
tau.291,7.124439591
tau.292,9.2803300005
tau.293,14.6278224
tau.294,13.815476845
tau.295,14.101934285
tau.296,6.8412918915
tau.297,5.4272061765
tau.298,5.712651787
tau.299,6.3958600555
tau.300,8.41107836
tau.301,13.065259155
tau.302,7.8561164845
tau.303,11.494028155
tau.304,7.755935125
tau.305,3.693488908
tau.306,10.066205010000001
tau.307,9.3977374705
tau.308,26.8938305
tau.309,19.360699805
tau.310,18.25710777
tau.311,6.838333713
tau.312,5.221207578
tau.313,15.24386127
tau.314,18.547938895
tau.315,7.716720712
tau.316,15.5005185335
tau.317,9.1284286445
tau.318,16.72801468
tau.319,9.351531724
tau.320,3.9055132855
tau.321,7.817352211
tau.322,13.2265442857
tau.323,18.564003335
tau.324,13.60135747
tau.325,16.106332535
tau.326,11.3978117985
tau.327,10.433774382
tau.328,16.028248835
tau.329,5.3436612905
tau.330,16.73093672
tau.331,5.381545749
tau.332,9.014087195
tau.333,3.79174092905
tau.334,7.406303247
tau.335,8.8417622735
tau.336,12.733159654
tau.337,8.3200687185
tau.338,5.4970055865
tau.339,4.483488938
tau.340,8.363304815
tau.341,25.233964485
tau.342,5.1585975705
tau.343,12.7763345955
tau.344,8.24832903
tau.345,16.384298725
tau.346,4.916699502
tau.347,8.2044225705
tau.348,6.5870443055
tau.349,3.0748278157
tau.350,2.6165973582
tau.351,15.840251675
tau.352,10.4058345815
tau.353,9.937929915
tau.354,19.5347385
tau.355,6.697855784
tau.356,14.259277305
tau.357,9.871111741
tau.358,20.662555115
tau.359,4.151182769
tau.360,10.737688825
tau.361,7.89298868
tau.362,15.682705625
tau.363,5.190295799
tau.364,12.146402549415
tau.365,15.429990084
tau.366,6.675814685
tau.367,7.01037425
tau.368,6.6541529602
tau.369,11.936481515
tau.370,9.105263585
tau.371,8.6224320835
tau.372,7.3556667475
